Date,Open,High,Low,Close
2020-01-02,5.941884393688347,5.9707536697387695,5.891363041927383,5.9707536697387695
2020-01-03,5.851046511408945,5.918989509206405,5.826158936868676,5.875187397003174
2020-01-06,5.781858231804876,5.905050966215078,5.75572649719555,5.899824619293213
2020-01-07,5.928197022093987,6.017045403475826,5.883150748902034,5.97125244140625
2020-01-08,5.967022086819687,6.023765699991168,5.926953419217713,5.982452392578125
2020-01-09,6.0688100475588,6.120576034406297,5.994396560138234,6.048153400421143
2020-01-10,6.155418238458034,6.185780888941309,6.066321140409811,6.080506801605225
2020-01-13,6.16363259678268,6.296282606868379,6.140984617283319,6.271146297454834
2020-01-14,6.228340052126756,6.2537255760549,6.140985045565615,6.154175758361816
2020-01-15,6.166866351354734,6.189265113518231,6.0857331416853295,6.111616134643555
2020-01-16,6.165125624680976,6.201212580149905,6.141731430548025,6.195239543914795
2020-01-17,6.2144031003351135,6.221869514641433,6.156415325826517,6.20395040512085
2020-01-21,6.167365397745973,6.204199040327583,6.13650479111519,6.170600891113281
2020-01-22,6.215896411562279,6.311215307199664,6.196981875274955,6.224606990814209
2020-01-23,6.264676098533878,6.301509269273523,6.175827715920401,6.2930474281311035
2020-01-24,6.408525194546055,6.4583003373897805,6.179560391908617,6.2338151931762695
2020-01-27,5.929192787115326,6.028991819907899,5.779619081655654,5.977972507476807
2020-01-28,6.043923483285389,6.203701127903374,5.990664110182417,6.171347618103027
2020-01-29,6.1569130145371735,6.19299997011159,6.071050915088323,6.110871315002441
2020-01-30,6.013063007373622,6.131029877336464,5.9580619920465185,6.117590427398682
2020-01-31,6.071796245454576,6.083742315286906,5.842334013297709,5.8841447830200195
2020-02-03,5.865978512587702,6.000619860257822,5.859756738000507,5.981207847595215
2020-02-04,6.123065746362249,6.169605393823703,6.073041867526822,6.150441646575928
2020-02-05,6.27139460720877,6.281598562985633,6.157409927409583,6.240783214569092
2020-02-06,6.275127378302254,6.327639579772949,6.193994166241866,6.327639579772949
2020-02-07,6.287572492182964,6.309722522519821,6.2360552299053404,6.261440753936768
2020-02-10,6.284087527331507,6.545405828690706,6.279109918334532,6.544659614562988
2020-02-11,6.652920487059736,6.781837531508206,6.590950532170923,6.6671061515808105
2020-02-12,6.719866771412749,6.789303132024063,6.6810422774865765,6.782832145690918
2020-02-13,6.724844697684495,6.806226658607772,6.69746832287338,6.739030361175537
2020-02-14,7.149175663875109,7.3410580636010705,7.117817583677653,7.212141036987305
2020-02-18,7.108858700139689,7.399295984825902,7.0894466884047596,7.380878925323486
2020-02-19,7.503325127505003,7.849758840322369,7.503325127505003,7.832088470458984
2020-02-20,7.784057427546516,7.872407869909049,7.375404945994099,7.682765483856201
2020-02-21,7.5705227712258205,7.5956590844997995,7.2337950040236585,7.318661212921143
2020-02-24,6.724345310469098,7.015031253136723,6.669841785223447,6.801247596740723
2020-02-25,6.876409179119824,6.9383791289907055,6.419972975741394,6.521762847900391
2020-02-26,6.522011817590938,6.855255296567621,6.520518914603024,6.6611328125
