Date,Open,High,Low,Close
2020-01-02,53.49449278585853,54.118679618132575,53.16289504263553,54.021148681640625
2020-01-03,52.82154838465468,53.94313002078428,52.66550259984252,53.182403564453125
2020-01-06,52.421680052643815,52.80204141496711,51.84626053208617,52.24612808227539
2020-01-07,54.011392608835365,56.956759659343575,53.99188642328471,56.82997131347656
2020-01-08,56.65442790742439,56.947013293957085,55.64988338283963,56.098514556884766
2020-01-09,56.878749530717904,57.03479533479074,55.084220923667566,55.89371109008789
2020-01-10,56.0497486167764,56.07900603808639,54.87940339885309,55.26951599121094
2020-01-13,55.60111044253574,56.352081881816595,55.454819624239256,56.03023910522461
2020-01-14,56.37159375492527,56.85923730595477,55.064708889349205,56.098514556884766
2020-01-15,55.62062312676421,55.70839911616612,54.46003279616131,54.78187561035156
2020-01-16,55.39631616836981,56.41061582164087,55.35730378468423,56.25457000732422
2020-01-17,56.58616180576409,56.683689034173284,55.601119684874945,56.23505783081055
2020-01-21,55.952214788892746,57.71748561845668,55.854687575945995,57.51267623901367
2020-01-22,58.049093529709054,58.761052726248245,57.395649183028354,57.707740783691406
2020-01-23,58.839071135646186,59.06338671688396,57.571194959326206,57.736995697021484
2020-01-24,58.51721735526159,58.53672354083095,55.82542699390633,56.33257293701172
2020-01-27,53.78709163281958,54.60633304585247,53.2701868766988,54.04066467285156
2020-01-28,54.859894741513905,55.376795670320256,53.874856490697596,55.074459075927734
2020-01-29,54.60632679764752,55.77666835055899,53.92362507816579,53.93337631225586
2020-01-30,52.841062727239255,53.70906777173397,51.90478787388039,53.6700553894043
2020-01-31,53.78708897507933,53.835852589549944,51.39763466176621,51.77799606323242
2020-02-03,51.93403442760814,52.77278186996987,51.69021266973205,52.45093536376953
2020-02-04,53.92362383255307,54.63558295828412,53.582271120484776,54.12843322753906
2020-02-05,55.61087195055515,55.84493877558754,54.44052666411789,55.36705017089844
2020-02-06,56.644683737696674,57.70774323990986,55.99123936320337,57.229854583740234
2020-02-07,56.5373978702875,56.56665529455894,55.36705253390122,55.474334716796875
2020-02-10,54.908667315115736,55.92296687198884,54.81114008559634,55.91321563720703
2020-02-11,56.449617914181644,57.38589262939236,54.93792366600132,55.83518600463867
2020-02-12,57.58094794571527,59.67781285715192,57.4444083548824,57.80526351928711
2020-02-13,57.55170088106,59.13166895680494,57.40541002099707,57.86379623413086
2020-02-14,58.673274924633844,59.06339127366465,56.82022784737538,57.054298400878906
2020-02-18,55.659638442278,56.60566818683048,55.22075847210287,56.32283401489258
2020-02-19,57.13232209649428,58.76104982449786,57.11281590736293,58.507476806640625
2020-02-20,58.40019246969339,58.507474645740906,56.264311344011084,57.54193878173828
2020-02-21,57.18108575376631,57.27861297907406,54.508797367486906,55.58161544799805
2020-02-24,51.992554376718196,54.089419318170556,51.30985269235643,53.65053939819336
2020-02-25,53.48474641433078,54.079672159525195,50.276050860350324,50.81245803833008
2020-02-26,51.34886185007005,52.92882574256347,50.597890416370035,51.07577896118164
2020-02-27,49.37878451308429,51.54391923988967,48.754601394710676,49.330020904541016
