Date,Open,High,Low,Close
2020-01-02,205.1401698134919,208.15649261372965,204.66391150608143,208.14657592773438
2020-01-03,205.59657325047942,208.7617217095724,205.3385880417922,207.04519653320312
2020-01-06,205.0905414609908,211.12320177073943,204.9119502859545,210.94461059570312
2020-01-07,211.16292515648405,212.9092158036629,210.10124923906582,211.4010467529297
2020-01-08,211.341519588777,214.55629744981584,210.95455684865024,213.5442352294922
2020-01-09,215.84612774338615,216.67959862689565,214.5959441280876,216.6002197265625
2020-01-10,217.4932292798279,218.16794243532362,215.72709019217615,216.3621063232422
2020-01-13,217.89011785751035,220.24165930128555,217.50315514980076,220.18212890625
2020-01-14,219.88445679338435,220.64846550559204,216.92766450065454,217.35430908203125
2020-01-15,218.8922508489187,219.95391156667583,218.42590922878898,219.42803955078125
2020-01-16,220.83698679349612,220.89651718671533,218.6739532866718,220.043212890625
2020-01-17,220.30117999726025,220.55915007771634,218.81285962698286,220.4103240966797
2020-01-21,220.4301848234441,220.63854120844226,217.41384689413272,219.71578979492188
2020-01-22,220.57903791135502,221.01561438686173,219.55705895277356,219.5967559814453
2020-01-23,219.03115557209316,219.7653990977893,217.56268366067917,218.04885864257812
2020-01-24,219.0807581343057,220.05312318860922,214.4272740930298,216.24302673339844
2020-01-27,211.440722772415,214.3776665299758,210.84538856048835,213.19692993164062
2020-01-28,214.45704612676462,217.03680753347362,211.85745134891118,216.0941925048828
2020-01-29,219.71578087459076,222.454284946092,216.74905677548094,221.49183654785156
2020-01-30,204.92187300257686,209.78371357248747,203.15573401089648,207.8985137939453
2020-01-31,206.80709790456496,207.06508316074348,199.4944876502085,200.33787536621094
2020-02-03,201.8559222525895,203.54268221963605,200.92323911528766,202.60008239746094
2020-02-04,205.0111699219711,208.96019096490863,203.60222842171876,208.19618225097656
2020-02-05,210.85530559513091,211.07359379720026,207.08490604661267,208.4739990234375
2020-02-06,208.8312211565953,209.54561624036785,207.7100148173451,209.20826721191406
2020-02-07,208.6625045595874,211.16288684851747,208.29537526503717,210.67669677734375
2020-02-10,209.8730443291456,212.13529033525572,209.01973994859674,211.4010467529297
